pb_acc	gene
ENSMUST00000044369.13	Atp6v1h
ENSMUST00000044455.8	Zfp451
ENSMUST00000044478.7	Hibch
ENSMUST00000044533.9	Prss56
ENSMUST00000044581.14	1700025G04Rik
ENSMUST00000044691.9	Bag2
ENSMUST00000044812.12	Gpatch2
ENSMUST00000044828.14	Lgr6
ENSMUST00000044878.4	Akp3
ENSMUST00000044954.7	Slc30a1
ENSMUST00000045028.15	Crygd
ENSMUST00000045108.2	D1Pas1
ENSMUST00000045110.14	Dstyk
ENSMUST00000045138.6	Gorab
ENSMUST00000045288.14	Tgfb2
ENSMUST00000045388.8	Lyplal1
ENSMUST00000045450.7	Ints7
ENSMUST00000045473.16	Tmcc2
ENSMUST00000045560.15	Slc19a3
ENSMUST00000045665.13	Ppp1r12b
ENSMUST00000045689.14	Mrpl15
ENSMUST00000045694.14	Mettl18
ENSMUST00000045876.8	Firrm
ENSMUST00000045897.15	Ptma
ENSMUST00000045902.13	Fmo2
ENSMUST00000045970.8	Gpc1
ENSMUST00000046004.6	Tex44
ENSMUST00000046049.14	Fmo1
ENSMUST00000046071.5	Klhdc8a
ENSMUST00000046110.16	Astn1
ENSMUST00000046322.14	Fcrla
ENSMUST00000046390.14	Myo1b
ENSMUST00000046476.13	Dusp12
ENSMUST00000046514.13	Eprs1
ENSMUST00000046658.10	Mfsd4a
ENSMUST00000046662.8	Gm4847
ENSMUST00000046673.11	Pard3b
ENSMUST00000046743.11	Cryzl2
ENSMUST00000046770.10	Nenf
ENSMUST00000046792.9	Olfml2b
ENSMUST00000046870.13	Lhx9
ENSMUST00000046875.14	Uggt1
ENSMUST00000047242.9	Traf3ip1
ENSMUST00000047328.11	Igfbp2
ENSMUST00000047409.9	Vash2
ENSMUST00000047534.12	Fam168b
ENSMUST00000047577.7	Prdm14
ENSMUST00000047615.15	Smarcal1
ENSMUST00000047664.16	Arhgef4
ENSMUST00000047714.14	Kdm5b
ENSMUST00000047734.15	Zfp281
ENSMUST00000047786.6	Marchf4
ENSMUST00000047840.9	Prss40
ENSMUST00000047978.9	Rabif
ENSMUST00000048183.8	Fmod
ENSMUST00000048308.6	C130074G19Rik
ENSMUST00000048309.12	Camsap2
ENSMUST00000048377.11	Suco
ENSMUST00000048432.6	Prelp
ENSMUST00000048462.13	Mtarc1
ENSMUST00000048572.7	Hlx
ENSMUST00000048613.14	A830018L16Rik
ENSMUST00000048655.8	Dusp10
ENSMUST00000048660.12	Pm20d1
ENSMUST00000048820.14	Wdfy1
ENSMUST00000048860.9	Mreg
ENSMUST00000048941.14	Capn8
ENSMUST00000048953.14	Atp2b4
ENSMUST00000049027.10	Slc26a9
ENSMUST00000049117.7	Gm5830
ENSMUST00000049126.13	Dner
ENSMUST00000049289.9	Ugt1a2
ENSMUST00000049404.13	Clasp1
ENSMUST00000049449.11	Ptpn7
ENSMUST00000049470.11	Tmem183a
ENSMUST00000049706.11	Fcer1a
ENSMUST00000049813.6	Yod1
ENSMUST00000049932.12	Creb1
ENSMUST00000049972.6	Scg2
ENSMUST00000050010.11	Vamp4
ENSMUST00000050047.4	D630023F18Rik
ENSMUST00000050306.8	1700056E22Rik
ENSMUST00000050406.11	Pfkfb2
ENSMUST00000050491.11	Glrx2
ENSMUST00000050536.14	Cmklr2
ENSMUST00000050552.15	Bzw1
ENSMUST00000050567.11	1700019D03Rik
ENSMUST00000050581.4	ENSMUSG00000121653
ENSMUST00000050660.6	Teddm1a
ENSMUST00000050876.14	Eif4e2
ENSMUST00000050890.8	Neu4
ENSMUST00000050899.7	Tmem198
ENSMUST00000051224.8	Stk-ps2
ENSMUST00000051236.11	Arl4c
ENSMUST00000051344.6	Col19a1
ENSMUST00000051396.13	Soat1
ENSMUST00000051431.10	Fbxo28
ENSMUST00000051572.8	Cavin2
ENSMUST00000051925.5	Prdx6
ENSMUST00000052172.7	Cxcr4
ENSMUST00000052245.9	Ankrd45
ENSMUST00000052332.15	Abi2
ENSMUST00000052375.8	Rgs13
ENSMUST00000052404.13	Epb41l5
ENSMUST00000052455.4	Pigm
ENSMUST00000052529.4	Ppp1r15b
ENSMUST00000052629.13	Igsf9
ENSMUST00000052670.11	Amer3
ENSMUST00000052843.12	Mcmdc2
ENSMUST00000052854.13	Spata3
ENSMUST00000052911.8	Mgat4e
ENSMUST00000052975.6	Or10aa1
ENSMUST00000053033.14	Macir
ENSMUST00000053043.8	Il1rl1
ENSMUST00000053075.15	Sphkap
ENSMUST00000053144.4	Otos
ENSMUST00000053178.5	Or6p1
ENSMUST00000053266.11	Mcm3
ENSMUST00000053355.6	Creg2
ENSMUST00000053364.12	Aspm
ENSMUST00000053389.5	Cxcr1
ENSMUST00000053469.2	Mettl21a
ENSMUST00000053499.6	Ankar
ENSMUST00000053686.9	Uck2
ENSMUST00000053760.12	Utp14b
ENSMUST00000053922.12	Vwc2l
ENSMUST00000053941.4	Or6k4
ENSMUST00000054279.15	Sp100
ENSMUST00000054462.11	Tbc1d8
ENSMUST00000054588.15	Col9a1
ENSMUST00000054653.9	Gm55816
ENSMUST00000054664.8	Gm6430
ENSMUST00000054665.10	Ankrd23
ENSMUST00000054668.13	Stau2
ENSMUST00000054674.15	Hjurp
ENSMUST00000054801.4	Mettl21e
ENSMUST00000054883.4	Pou3f3
ENSMUST00000055001.10	Klf7
ENSMUST00000055223.14	Dnajb2
ENSMUST00000055226.13	Fn1
ENSMUST00000055294.4	Grem2
ENSMUST00000055313.14	Flacc1
ENSMUST00000055314.4	Teddm1b
ENSMUST00000055322.6	Ier5
ENSMUST00000055873.7	Or6n2
ENSMUST00000055884.8	Htr5b
ENSMUST00000056038.15	3110009E18Rik
ENSMUST00000056071.13	Ifi209
ENSMUST00000056089.8	Tmem37
ENSMUST00000056136.4	Kcnj10
ENSMUST00000056449.9	Arhgap30
ENSMUST00000056592.3	Or10j3b
ENSMUST00000056773.15	Sdccag8
ENSMUST00000056815.9	Npas2
ENSMUST00000056879.9	C230029F24Rik
ENSMUST00000056925.16	Col6a3
ENSMUST00000056946.8	Neurl3
ENSMUST00000056991.6	Spata46
ENSMUST00000057037.13	Cep170
ENSMUST00000057062.12	Brox
ENSMUST00000057208.13	Mrps9
ENSMUST00000057262.8	Kcne4
ENSMUST00000057438.7	Vcpip1
ENSMUST00000057543.3	A730013G03Rik
ENSMUST00000057548.2	Or10j3
ENSMUST00000057846.15	Nckap5
ENSMUST00000058167.3	Tmem81
ENSMUST00000058237.14	Ugt1a7c
ENSMUST00000058307.15	Inpp4a
ENSMUST00000058437.14	Rpl7
ENSMUST00000058682.11	Ano7
ENSMUST00000058688.7	Rnf152
ENSMUST00000058748.2	Fam124b
ENSMUST00000058762.15	Pam
ENSMUST00000058825.5	Ccdc121rt1
ENSMUST00000059065.10	Gm5250
ENSMUST00000059226.7	Ifi205
